x ylo yhi
73 0.011743396 0.011984906
74 0.011325786 0.011462264
75 0.011336478 0.011565409
76 0.01136478 0.011674214
77 0.011085535 0.01142956
78 0.011022642 0.011173585
79 0.010999371 0.011150943
80 0.011320755 0.011718239
81 0.01149434 0.011886164
82 0.010850314 0.011208805
83 0.010818868 0.011194969
84 0.011200629 0.011587421
85 0.011144654 0.011506918
86 0.011569811 0.011879245
87 0.010888679 0.011147799
88 0.011147799 0.011640881
89 0.011330189 0.011662893
90 0.011060377 0.011249686
91 0.011747799 0.011951572
92 0.011602516 0.011891824
93 0.011351572 0.011733333
94 0.012226415 0.012612579
95 0.011932075 0.012177358
96 0.011455346 0.011879874
97 0.011530818 0.011940881
98 0.011291195 0.011747799
99 0.011525157 0.011810063
100 0.011864151 0.012109434
101 0.011236478 0.011506289
102 0.011522013 0.011881761
103 0.011542767 0.011883648
104 0.011852201 0.012052201
105 0.012045912 0.012337736
106 0.011422013 0.011845283
107 0.011181132 0.011447799
108 0.011838365 0.012157862
109 0.011900629 0.012300629
110 0.011768553 0.012003774
111 0.011891195 0.012291195
112 0.011734591 0.012065409
113 0.01181761 0.012420126
114 0.01197673 0.012506918
115 0.011886164 0.012378616
116 0.011955975 0.012418239
117 0.012014465 0.012469182
118 0.01175283 0.012430189
119 0.012504403 0.013291824
120 0.012215723 0.012568553
121 0.01222327 0.012779874
122 0.011575472 0.012060377
123 0.012191195 0.012675472
124 0.012127673 0.012520126
125 0.012483648 0.013066038
126 0.012881761 0.013461635
127 0.011883648 0.012244654
128 0.012644025 0.013179874
129 0.013095597 0.013903774
130 0.012672956 0.013396226
131 0.012706918 0.013389937
132 0.012283648 0.012910692
133 0.012521384 0.013110692
134 0.012554717 0.013241509
135 0.012373585 0.012902516
136 0.012260377 0.01268805
137 0.012562264 0.013261635
138 0.012836478 0.013779874
139 0.013840881 0.014826415
140 0.012749686 0.013675472
141 0.012691195 0.013788679
142 0.01283522 0.01307044
143 0.012815723 0.01341761
144 0.013030818 0.013613208
145 0.013742767 0.014787421
146 0.013564151 0.014993711
147 0.012877987 0.014148428
148 0.013414465 0.01407673
149 0.014250314 0.015045912
150 0.013107547 0.01424717
151 0.013183019 0.014171698
152 0.013816981 0.014522642
153 0.014096855 0.0155
154 0.013169182 0.014814465
155 0.013616981 0.014940881
156 0.013418868 0.015002516
157 0.014421384 0.015722642
158 0.013773585 0.015413208
159 0.014307547 0.01561761
160 0.013658491 0.014872327
161 0.014255975 0.016981132
162 0.015068553 0.01677044
163 0.014318868 0.016091824
164 0.014084906 0.016769811
165 0.014162264 0.016077358
166 0.013867925 0.016166038
167 0.014619497 0.017191824
168 0.014025786 0.016657862
169 0.014584906 0.017910063
170 0.014533962 0.017106918
171 0.014486792 0.018247799
172 0.014344025 0.017433333
173 0.014585535 0.017362893
174 0.014999371 0.017393711
175 0.015597484 0.018367925
176 0.014793082 0.017531447
177 0.014322013 0.017626415
178 0.015295597 0.018464151
179 0.013940881 0.017357862
180 0.015434591 0.01911195
181 0.01620566 0.019946541
182 0.016016981 0.018631447
183 0.01426478 0.016760377
184 0.014737107 0.018271069
185 0.015551572 0.020156604
186 0.015444025 0.019615094
187 0.014294969 0.01874717
188 0.014995597 0.018091824
189 0.015556604 0.018579245
190 0.015379874 0.01902956
191 0.014581132 0.017731447
192 0.015840252 0.01907044
193 0.015631447 0.018641509
194 0.015030189 0.018786792
195 0.015658491 0.018978616
196 0.013483019 0.017326415
197 0.014407547 0.01808805
198 0.016028931 0.019155346
199 0.014595597 0.018172956
200 0.015141509 0.018493082
